sl.no,payload_length,commulative_rtt 
0,100,379 
1,200,242 
2,300,301 
3,400,272 
4,500,271 
5,600,239 
6,700,231 
7,800,427 
8,900,220 
9,1000,250 
10,100,231 
11,200,267 
12,300,241 
13,400,363 
14,500,235 
15,600,254 
16,700,425 
17,800,344 
18,900,246 
19,1000,263 
20,100,273 
21,200,256 
22,300,270 
23,400,247 
24,500,249 
25,600,226 
26,700,288 
27,800,237 
28,900,248 
29,1000,261 
30,100,238 
31,200,239 
32,300,274 
33,400,237 
34,500,249 
35,600,287 
36,700,255 
37,800,241 
38,900,242 
39,1000,240 
40,100,272 
41,200,220 
42,300,224 
43,400,278 
44,500,259 
45,600,222 
46,700,229 
47,800,227 
48,900,258 
49,1000,259 
