sl.no,payload_length,commulative_rtt 
0,100,1162 
1,200,837 
2,300,747 
3,400,679 
4,500,811 
5,600,1125 
6,700,611 
7,800,529 
8,900,644 
9,1000,561 
10,100,506 
11,200,507 
12,300,513 
13,400,511 
14,500,576 
15,600,700 
16,700,560 
17,800,738 
18,900,524 
19,1000,450 
20,100,5243 
21,200,474 
22,300,504 
23,400,587 
24,500,552 
25,600,504 
26,700,491 
27,800,472 
28,900,440 
29,1000,448 
30,100,528 
31,200,455 
32,300,458 
33,400,1451 
34,500,1423 
35,600,584 
36,700,724 
37,800,4072 
38,900,700 
39,1000,628 
40,100,767 
41,200,900 
42,300,2078 
43,400,1421 
44,500,803 
45,600,1427 
46,700,768 
47,800,2265 
48,900,1441 
49,1000,850 
