sl.no,payload_length,commulative_rtt 
0,100,529 
1,200,403 
2,300,423 
3,400,658 
4,500,435 
5,600,364 
6,700,397 
7,800,808 
8,900,896 
9,1000,629 
10,100,387 
11,200,429 
12,300,343 
13,400,440 
14,500,462 
15,600,390 
16,700,471 
17,800,419 
18,900,417 
19,1000,336 
20,100,893 
21,200,406 
22,300,684 
23,400,538 
24,500,1426 
25,600,1461 
26,700,1749 
27,800,480 
28,900,512 
29,1000,356 
30,100,388 
31,200,435 
32,300,467 
33,400,435 
34,500,469 
35,600,509 
36,700,633 
37,800,452 
38,900,477 
39,1000,500 
40,100,378 
41,200,621 
42,300,1099 
43,400,3226 
44,500,1086 
45,600,808 
46,700,591 
47,800,1629 
48,900,816 
49,1000,580 
