sl.no,payload_length,commulative_rtt 
0,100,576 
1,200,483 
2,300,443 
3,400,525 
4,500,404 
5,600,489 
6,700,570 
7,800,522 
8,900,633 
9,1000,497 
10,100,562 
11,200,628 
12,300,598 
13,400,496 
14,500,434 
15,600,528 
16,700,524 
17,800,439 
18,900,440 
19,1000,530 
20,100,489 
21,200,484 
22,300,525 
23,400,657 
24,500,525 
25,600,1026 
26,700,1346 
27,800,1013 
28,900,1185 
29,1000,633 
30,100,598 
31,200,461 
32,300,545 
33,400,664 
34,500,995 
35,600,614 
36,700,803 
37,800,602 
38,900,717 
39,1000,602 
40,100,498 
41,200,460 
42,300,471 
43,400,419 
44,500,743 
45,600,667 
46,700,546 
47,800,420 
48,900,370 
49,1000,422 
